el/la abuelo/a,grandfather/grandmother
el/la cunado/a,brother/sister in law
el/la esposo/a,spouse
la familia,family
el/la hermanastro,stepbrother/stepsister
el/la hermano/a,brother/sister
el/la hijastro/a,stepson/stepdaughter
los/las hijos/as,children/sons/daughters
la madrastra,stepmother
la madre,mother
el/la medio/a hermano/a,half brother/sister
el/la nieto/a,grandson/grandaughter
la nuera,daughter in law
el padrastro,stepfather
el padre,father
los padres,parents
el/la primo/a,cousin
el/la sobrino/a,nephew/niece
el/la suegro/a,father-in-law/mother-in-law
el/la t¡o/a,uncle/aunt
el yerno,son-in-law
