der Alltag,everyday,,,
das Alphabet,alphabet,,,
die Antwort,answer,,,
das Beispiel,example,,,
der Beruf,profession/job,,,
das Deutsch,German,,,
die Entschuldigung,apology,,,
der Familienname,last name,,,
die Frage,question,,,
die Frau,woman/mrs,,,
der Herr,man/mr,,,
der Kurs,course,,,
der Kursleiter,instructor,,,
die Kursleiterin ,roster,,,
das Land,country,,,
die Leute,people,,,
der Nachbar,neighbour,,,
der Name,name,,,
die Person,person,,,
der Satz,sentence,,,
die Sprache,language,,,
die Stadt,city,,,
der Vorname,first name,,,
