el autob£s,bus
la capital,capital city
la chica,girl
el chico,boy
la computadora,computer
la comunidad,community
el/la conductor(a),conductor
la conversaci¢n,conversation
la cosa,thing
el cuaderno,notebook
el d¡a,day
el diario,diary
el diccionario,dictionary
la escuela,school
el/la estudiante,student
la foto (graf¡a),photograph
la grabadora,tape recorder
el hombre,man
el/la joven,youth
el l piz,penci
la lecci¢n,lesson
la maleta,suitcase
la mano,hand
el mapa,map
la mochila,backpack
la mujer,woman
la nacionalidad,nationality
el n£mero,number
el pa¡s,country
la palabra,Word
el/la pasajero/a,passenger
el problema,porblem
el/la profesor(a),teacher
el programa,program
el/la turista,tourist
el video,video
