das Land,country
das Lernziel,study goal
der Familienname,last name
der Name,name
der Vorname,first name
die Herkunft,background
die Sprache,language
die Stadt,city
Hallo,Hello
über,here
und,and
das Polnisch,Polish
das Russisch,Russian
die Kursliste,roster
aus,from
der Kurs,course
Guten Tag,good day
im,in the
wie,what
woher,where
der Deutschkurs,german course
der Dialog,dialogue
der Kursleiter,course instructor
der Nachname,last name
Herr,mister
in,in
die Liste,list
der Tag,day
die Entschuldigung,excuse
die Frau,woman/mrs
formell,formal
informell,informal
oder,or
privat,private
der Akzent,accent
die Aussprache,pronunciation
die Melodie,melody
bitte,please
auch,also
einmal,once
Guten Abend,good evening
noch einmal,once again/one more time
der Aussagesatz,sentence of statement
die W-Frage,w-question
das Beispiel,example
das Verb,verb
laut,loud
der Satz,sentence
der Steckbrief,personal description/profile
das Chinesisch,Chinese
das Englisch,English
das Französisch,French
das Koreanisch,Korean
das Persisch,Persian
das Spanisch,Spanish
das Türkisch,Turkish
das Ukrainisch,Ukrainian
was,what
wer,who
genau,exactly/precisely
wo,where
das Lernplakat,study poster
die Verbform,verb form
ander-, other
der Nachbar,neighbor
das Alphabet,alphabet
der Rhythmus,rhythm
mit,with
die Person,person
nein,no
die Leute,people
das Deutsch,German
der Automechaniker,car mechanic
der Deutschlehrer,German Teacher
der Sekretär,secretary
der Wohnort,place of redisnce
die Information,information
der Beruf,profession/job
der Alltag,ordinary weekday
auf,at
Auf Wiedersehen,goodbye
der Blick,glance
Tschüs,see you
das Estnisch,Estonion
das Schwedisch,Swedish
der Artikel,article
der Sprachenname,name of a language
die Endung,ending
oft,often
die Grammatik,grammar
das Fragewort,question word
am,at
das Satzende,end of sentence
die Satzmelodie,melody of sentence/intonation
man,one/you
die Antwort,answer
die Frage,question
