der Apfel,apple
das Bier,beer
die Butter,butter
das Brot,bread
das Ei,eggs
der Fisch,fish
die Flasche,bottle
das Fleisch,meat
das Geld,money
das Gemüse,vegetable
das Gramm,gram
die Kartoffel,potato
der Käse,cheese
das Kilo,kilogram
der Kuchen,kitchen
der Laden,store
das Lebensmittle,food
der Liter,litre
das Mehl,flour
das Obst,fruit
das Öl,oil
das Päckchen,packet
das Paket,package
der Reis,rice
das Rezept,recipe
der Salat,salad
das Salz,salt
der Schinken,Ham
das Schnitzel,schnitzel
die Soße,sauce
die Tüte,bag
der Wein,wine
die Wurst,sausage
die Zwiebel,onion
